Honey Bee|Bee
Carpenter Bee|Bee
Bumble Bee|Bee
Green Sweat Bee|Bee
Dark Sweat Bee|Bee
Butterflies/Moths|Butterflies/Moths
Beetles/Flies/Wasps|Other
